ID,site,year,month,day,hour,holiday,maxtemp,mintemp,weatherType,load
294,15,2016,3,1,4.75,0,22.0,10.1,1,1.764
295,17,2016,3,1,4.75,0,22.0,10.1,1,0.974
296,18,2016,3,1,4.75,0,22.0,10.1,1,1.71
297,19,2016,3,1,4.75,0,22.0,10.1,1,1.517
298,20,2016,3,1,4.75,0,22.0,10.1,1,1.846
299,21,2016,3,1,4.75,0,22.0,10.1,1,2.959
300,0,2016,3,1,5.0,0,22.0,10.1,1,-17.307
301,3,2016,3,1,5.0,0,22.0,10.1,1,0.77
302,4,2016,3,1,5.0,0,22.0,10.1,1,0.171
303,5,2016,3,1,5.0,0,22.0,10.1,1,3.335
304,8,2016,3,1,5.0,0,22.0,10.1,1,-4.185
305,9,2016,3,1,5.0,0,22.0,10.1,1,-7.064
306,10,2016,3,1,5.0,0,22.0,10.1,1,-6.0
307,13,2016,3,1,5.0,0,22.0,10.1,1,1.877
308,14,2016,3,1,5.0,0,22.0,10.1,1,0.479
309,15,2016,3,1,5.0,0,22.0,10.1,1,1.802
310,17,2016,3,1,5.0,0,22.0,10.1,1,0.936
311,18,2016,3,1,5.0,0,22.0,10.1,1,1.567
312,19,2016,3,1,5.0,0,22.0,10.1,1,1.403
313,20,2016,3,1,5.0,0,22.0,10.1,1,1.808
314,21,2016,3,1,5.0,0,22.0,10.1,1,3.098
315,0,2016,3,1,5.25,0,22.0,10.1,1,-17.146
316,3,2016,3,1,5.25,0,22.0,10.1,1,0.77
317,4,2016,3,1,5.25,0,22.0,10.1,1,0.205
318,5,2016,3,1,5.25,0,22.0,10.1,1,2.873
319,8,2016,3,1,5.25,0,22.0,10.1,1,-3.886
320,9,2016,3,1,5.25,0,22.0,10.1,1,-7.21
321,10,2016,3,1,5.25,0,22.0,10.1,1,-6.146
322,13,2016,3,1,5.25,0,22.0,10.1,1,1.852
323,14,2016,3,1,5.25,0,22.0,10.1,1,0.479
324,15,2016,3,1,5.25,0,22.0,10.1,1,1.688
325,17,2016,3,1,5.25,0,22.0,10.1,1,0.999
