ID,site,year,month,day,hour,holiday,maxtemp,mintemp,weatherType,load
281,0.857,0.0,0.0,0.0,0.189,0.0,0.812,0.27,0.0,1.723
282,0.905,0.0,0.0,0.0,0.189,0.0,0.812,0.27,0.0,1.732
283,0.952,0.0,0.0,0.0,0.189,0.0,0.812,0.27,0.0,1.846
284,1.0,0.0,0.0,0.0,0.189,0.0,0.812,0.27,0.0,2.794
285,0.0,0.0,0.0,0.0,0.2,0.0,0.812,0.27,0.0,17.146
286,0.143,0.0,0.0,0.0,0.2,0.0,0.812,0.27,0.0,0.752
287,0.19,0.0,0.0,0.0,0.2,0.0,0.812,0.27,0.0,0.154
288,0.238,0.0,0.0,0.0,0.2,0.0,0.812,0.27,0.0,3.198
289,0.381,0.0,0.0,0.0,0.2,0.0,0.812,0.27,0.0,4.099
290,0.429,0.0,0.0,0.0,0.2,0.0,0.812,0.27,0.0,6.991
291,0.476,0.0,0.0,0.0,0.2,0.0,0.812,0.27,0.0,6.097
292,0.619,0.0,0.0,0.0,0.2,0.0,0.812,0.27,0.0,1.84
293,0.667,0.0,0.0,0.0,0.2,0.0,0.812,0.27,0.0,0.542
294,0.714,0.0,0.0,0.0,0.2,0.0,0.812,0.27,0.0,1.764
295,0.81,0.0,0.0,0.0,0.2,0.0,0.812,0.27,0.0,0.974
296,0.857,0.0,0.0,0.0,0.2,0.0,0.812,0.27,0.0,1.71
297,0.905,0.0,0.0,0.0,0.2,0.0,0.812,0.27,0.0,1.517
298,0.952,0.0,0.0,0.0,0.2,0.0,0.812,0.27,0.0,1.846
299,1.0,0.0,0.0,0.0,0.2,0.0,0.812,0.27,0.0,2.959
300,0.0,0.0,0.0,0.0,0.211,0.0,0.812,0.27,0.0,17.307
301,0.143,0.0,0.0,0.0,0.211,0.0,0.812,0.27,0.0,0.77
302,0.19,0.0,0.0,0.0,0.211,0.0,0.812,0.27,0.0,0.171
303,0.238,0.0,0.0,0.0,0.211,0.0,0.812,0.27,0.0,3.335
304,0.381,0.0,0.0,0.0,0.211,0.0,0.812,0.27,0.0,4.185
305,0.429,0.0,0.0,0.0,0.211,0.0,0.812,0.27,0.0,7.064
306,0.476,0.0,0.0,0.0,0.211,0.0,0.812,0.27,0.0,6.0
307,0.619,0.0,0.0,0.0,0.211,0.0,0.812,0.27,0.0,1.877
308,0.667,0.0,0.0,0.0,0.211,0.0,0.812,0.27,0.0,0.479
309,0.714,0.0,0.0,0.0,0.211,0.0,0.812,0.27,0.0,1.802
310,0.81,0.0,0.0,0.0,0.211,0.0,0.812,0.27,0.0,0.936
311,0.857,0.0,0.0,0.0,0.211,0.0,0.812,0.27,0.0,1.567
312,0.905,0.0,0.0,0.0,0.211,0.0,0.812,0.27,0.0,1.403
313,0.952,0.0,0.0,0.0,0.211,0.0,0.812,0.27,0.0,1.808
314,1.0,0.0,0.0,0.0,0.211,0.0,0.812,0.27,0.0,3.098
