ID,hour,holiday,maxtemp,mintemp,load
600,0.253,0,0.862,1,17.146
601,0.263,0,0.862,1,17.307
602,0.274,0,0.862,1,19.079
603,0.284,0,0.862,1,20.205
604,0.295,0,0.862,1,20.528
605,0.305,0,0.862,1,21.252
606,0.316,0,0.862,1,22.379
607,0.326,0,0.862,1,23.425
608,0.337,0,0.862,1,25.921
609,0.347,0,0.862,1,27.451
610,0.358,0,0.862,1,29.946
611,0.368,0,0.862,1,31.476
612,0.379,0,0.862,1,31.636
613,0.389,0,0.862,1,33.005
614,0.4,0,0.862,1,33.166
615,0.411,0,0.862,1,34.374
616,0.421,0,0.862,1,34.454
617,0.432,0,0.862,1,33.408
618,0.442,0,0.862,1,34.454
619,0.453,0,0.862,1,34.213
620,0.463,0,0.862,1,34.213
621,0.474,0,0.862,1,35.179
622,0.484,0,0.862,1,35.42
623,0.495,0,0.862,1,34.374
624,0.505,0,0.862,1,28.014
625,0.516,0,0.862,1,23.989
626,0.526,0,0.862,1,23.828
627,0.537,0,0.862,1,24.15
628,0.547,0,0.862,1,24.713
629,0.558,0,0.862,1,27.531
630,0.568,0,0.862,1,29.785
631,0.579,0,0.862,1,31.717
632,0.589,0,0.862,1,31.717
633,0.6,0,0.862,1,30.831
634,0.611,0,0.862,1,30.59
635,0.621,0,0.862,1,30.831
636,0.632,0,0.862,1,30.348
637,0.642,0,0.862,1,29.382
638,0.653,0,0.862,1,29.946
639,0.663,0,0.862,1,30.59
640,0.674,0,0.862,1,29.946
641,0.684,0,0.862,1,29.06
642,0.695,0,0.862,1,29.463
643,0.705,0,0.862,1,29.382
644,0.716,0,0.862,1,29.302
645,0.726,0,0.862,1,28.98
646,0.737,0,0.862,1,29.543
647,0.747,0,0.862,1,27.611
648,0.758,0,0.862,1,25.84
649,0.768,0,0.862,1,25.921
650,0.779,0,0.862,1,25.116
651,0.789,0,0.862,1,25.518
652,0.8,0,0.862,1,26.323
653,0.811,0,0.862,1,27.289
654,0.821,0,0.862,1,27.128
655,0.832,0,0.862,1,27.692
656,0.842,0,0.862,1,27.451
657,0.853,0,0.862,1,28.014
658,0.863,0,0.862,1,27.853
659,0.874,0,0.862,1,27.37
660,0.884,0,0.862,1,26.646
661,0.895,0,0.862,1,25.358
662,0.905,0,0.862,1,24.713
663,0.916,0,0.862,1,23.828
664,0.926,0,0.862,1,22.621
665,0.937,0,0.862,1,21.735
666,0.947,0,0.862,1,20.125
667,0.958,0,0.862,1,19.24
668,0.968,0,0.862,1,18.515
669,0.979,0,0.862,1,19.32
670,0.989,0,0.862,1,19.562
671,1,0,0.862,1,20.125
672,0,0,0.623,0.74,20.93
673,0.011,0,0.623,0.74,20.608
674,0.021,0,0.623,0.74,19.883
675,0.032,0,0.623,0.74,19.964
676,0.042,0,0.623,0.74,18.998
677,0.053,0,0.623,0.74,19.32
678,0.063,0,0.623,0.74,18.354
679,0.074,0,0.623,0.74,19.24
680,0.084,0,0.623,0.74,18.354
681,0.095,0,0.623,0.74,18.917
682,0.105,0,0.623,0.74,17.791
683,0.116,0,0.623,0.74,16.744
684,0.126,0,0.623,0.74,18.112
685,0.137,0,0.623,0.74,17.469
686,0.147,0,0.623,0.74,17.791
687,0.158,0,0.623,0.74,17.469
688,0.168,0,0.623,0.74,16.905
